[A, 12136]
[B, 5876]
[C, 6064]
[D, 3974]
[E, 5457]
[F, 4470]
[G, 3126]
[H, 7322]
[I, 17073]
[J, 1304]
[K, 1626]
[L, 2711]
[M, 6190]
[N, 6535]
[O, 4085]
[P, 8871]
[Q, 148]
[R, 5489]
[S, 8589]
[T, 16156]
[U, 1574]
[V, 1837]
[W, 6226]
[X, 613]
[Y, 2257]
[Z, 145]
[a, 386693]
[b, 65293]
[c, 133620]
[d, 206914]
[e, 613252]
[f, 114377]
[g, 90864]
[h, 284369]
[i, 338798]
[j, 4850]
[k, 30217]
[l, 189707]
[m, 117628]
[n, 353658]
[o, 374782]
[p, 86477]
[q, 4214]
[r, 294861]
[s, 318235]
[t, 435302]
[u, 133119]
[v, 49013]
[w, 93231]
[x, 8789]
[y, 85840]
[z, 3538]
